doy,year,tmax,tmin
8,2015,3.012350798,-8.035113335
8,2016,3.993584156,-2.206938505
8,2017,13.58286572,5.199673176
8,2018,3.01433897,0.332930803
8,2019,3.436803341,-3.802994251
8,2020,10.8240881,3.243360996
9,2001,7.601426125,-0.999350727
9,2002,3.987926483,-6.83533287
9,2003,5.094733238,-8.628056526
9,2004,7.615905285,-2.546285152
9,2005,-0.595647693,-8.624586105
9,2006,5.927165031,-4.302041054
9,2007,5.799170017,-4.408094406
9,2008,10.54112244,-1.905132651
9,2009,2.175824165,-7.66377306
9,2010,1.727743983,-8.3350811
9,2011,0.920239747,-7.442351341
9,2012,4.159639359,-5.097980976
9,2013,-1.446376085,-9.591781616
9,2014,-1.022244811,-7.809839249
9,2015,4.768286705,-4.671230316
9,2016,5.98754406,-0.627400517
9,2017,7.772770882,0.052569807
9,2018,1.055286407,-2.675213099
9,2019,1.340044618,-7.464595795
9,2020,5.153003693,-1.654180169
10,2001,2.357856989,-5.28422451
10,2002,12.51248455,-3.15514946
10,2003,4.741369724,-2.789307117
10,2004,6.555946827,-2.014641762
10,2005,2.177314043,-9.045511246
10,2006,6.381245613,-3.28909874
10,2007,7.041162491,-3.336560726
10,2008,8.515832901,-1.635235548
10,2009,-0.71688354,-5.31438446
10,2010,2.519523621,-1.770183682
10,2011,-1.89102459,-12.36750317
10,2012,4.00903511,-1.685480595
10,2013,-0.825127065,-12.22114849
10,2014,2.944561958,-9.249943733
10,2015,7.040064812,-3.976430893
10,2016,7.262508392,-1.467570305
10,2017,4.981370449,-2.437237978
10,2018,0.214391604,-7.436807156
10,2019,3.172959566,-2.827607155
10,2020,6.300851345,-3.54998064
11,2001,2.185971737,-6.489351749
11,2002,11.71690178,0.451202095
11,2003,5.756786346,-4.235980511
11,2004,5.916941166,-6.273765564
11,2005,0.558044016,-3.846967697
11,2006,6.879073143,-5.631810188
11,2007,5.373591423,-3.967978001
11,2008,5.313319206,2.749661684
11,2009,1.050266623,-7.767700195
11,2010,2.354794025,-2.249483347
11,2011,1.97343421,-9.946232796
11,2012,0.330367595,-7.53125
11,2013,2.908713818,-12.19998074
11,2014,4.472994804,-3.551795483
11,2015,5.496565819,-1.803405881
11,2016,3.705308676,-3.809952974
11,2017,2.250280619,-5.376852989
11,2018,-4.612137794,-10.06424427
11,2019,8.215431213,-2.645330191
11,2020,7.538581371,-2.196072578
12,2001,-2.090492964,-8.653773308
12,2002,15.88721371,-0.296639651
12,2003,8.684562683,-2.133521795
12,2004,6.028704166,-4.93438673
12,2005,1.602879286,-6.358933926
12,2006,9.530779839,-3.71614933
12,2007,4.064977646,-2.69370079
12,2008,5.535347462,0.801626563
12,2009,-0.713441133,-6.763958931
12,2010,-1.169429183,-6.471693516
12,2011,-1.023254752,-8.85565567
12,2012,2.082618475,-8.473042488
12,2013,7.576088905,-4.492919922
12,2014,5.904759407,-3.80537343
12,2015,3.574467182,-6.409538746
12,2016,2.577992678,-6.320971966
12,2017,7.606679916,-2.625828028
12,2018,-4.479241371,-12.66585445
12,2019,8.082242012,0.250370741
12,2020,4.251451969,0.600003719
13,2001,-0.945580006,-7.756983757
13,2002,16.35884476,4.262878418
13,2003,11.15782166,0.021336665
13,2004,0.737733126,-5.324279785
13,2005,0.624324322,-5.315105915
13,2006,11.47771263,5.435070038
13,2007,2.722966194,-4.65103054
13,2008,0.842122316,-3.717712879
13,2009,1.454679012,-7.229862213
13,2010,-3.397308111,-10.26540089
13,2011,2.073231459,-11.56678486
13,2012,6.114210129,-3.984773636
13,2013,3.587495327,-3.395884752
13,2014,0.90144217,-8.53749752
13,2015,9.114391327,-5.936744213
13,2016,1.347763419,-2.604801893
13,2017,2.911533833,-5.280464172
13,2018,4.497865677,-8.525644302
13,2019,7.022505283,-1.699832678
13,2020,4.589830399,-1.646977186
14,2001,-4.850457668,-11.95534229
14,2002,17.87301826,11.30670547
14,2003,5.504590988,-3.881280899
14,2004,2.700051785,-8.706706047
14,2005,2.416912079,-7.24586153
14,2006,6.141329765,2.65918088
