datetime,temperature,humidity,leafwet
20230508 1300,28,28.2,0.6
20230508 1400,27.7,28.5,0
20230508 1500,27.7,29.8,0
20230508 1600,25,35.3,0.6
20230508 1700,24.3,40.4,0
20230508 1800,20.3,50.2,0
20230508 1900,18.1,63.6,0
20230508 2000,13.1,75.7,0.7
20230508 2100,10.7,82.2,3
20230508 2200,9.1,87.4,9.4
20230508 2300,8.6,89.4,11.9
20230509 0000,7.8,91.1,14.3
20230509 0100,7.2,92.9,14.9
20230509 0200,6.7,94.1,15
20230509 0300,6.3,94.8,15
20230509 0400,6,95.7,15
20230509 0500,5.8,96.3,15
20230509 0600,6.3,96.7,15
20230509 0700,11.4,96.7,1.9
20230509 0800,14.5,80.8,0.8
20230509 0900,17.9,63.6,0.6
20230509 1000,19.7,55.5,0.6
20230509 1100,22.8,52,0.6
20230509 1200,24.4,46.6,0.6
20230509 1300,25.6,47.9,0.6
20230509 1400,26,46,0
20230509 1500,26,42.9,0
20230509 1600,25.3,42.3,0
20230509 1700,23.8,50.3,0
20230509 1800,23,56.8,0
20230509 1900,17.8,74.2,0.6
20230509 2000,15,83.6,4.7
20230509 2100,13.3,87.5,10.6
20230509 2200,12.1,89.4,6.3
20230509 2300,11.4,89.7,12.8
20230510 0000,10.6,91.8,11.1
20230510 0100,10.1,92.8,15
20230510 0200,9.6,94.1,15
20230510 0300,9.2,95.1,15
20230510 0400,8.9,95.7,15
20230510 0500,8.6,96.2,15
20230510 0600,8.6,96.6,15
20230510 0700,10.5,96.8,13.8
20230510 0800,15.7,94.2,1.1
20230510 0900,18.7,71.6,0.7
20230510 1000,22.9,51.2,0.6
20230510 1100,25.3,45.1,0.6
20230510 1200,26.5,41.3,0.6
20230510 1300,28.2,33.1,0
20230510 1400,29.6,30.2,0
20230510 1500,29.4,25.4,0
20230510 1600,29.9,30.8,0
20230510 1700,27.7,36.5,0
20230510 1800,25.6,41.7,0
20230510 1900,19.6,51.1,0
20230510 2000,14.5,72.8,0.7
20230510 2100,12.8,80.5,0.8
20230510 2200,12.2,81.5,0.8
20230510 2300,11.1,83.7,1.3
20230511 0000,10.3,85.6,2.7
20230511 0100,9.4,89.5,11.6
20230511 0200,9.2,91.7,14.9
20230511 0300,9.2,93.3,15
20230511 0400,8.8,94.4,15
20230511 0500,8.1,94.7,15
20230511 0600,8.5,95.3,15
20230511 0700,13.4,95.8,1.9
20230511 0800,17.7,67.7,0.6
20230511 0900,21.4,58,0.6
20230511 1000,26.7,40.2,0
20230511 1100,29,35.6,0
20230511 1200,29.4,29.8,0
20230511 1300,28.8,32.3,0
20230511 1400,30.9,27,0
20230511 1500,29.9,29.4,0
20230511 1600,30.5,25.7,0
20230511 1700,29.1,27.3,0
20230511 1800,24.7,44.2,0
20230511 1900,19.9,59.8,0
20230511 2000,16.5,73.2,0.8
20230511 2100,14.5,82.5,6.1
20230511 2200,13.9,78.4,0.9
20230511 2300,13.3,82.3,1.4
20230512 0000,12.4,82.3,1.4
20230512 0100,11.6,86.5,14.7
20230512 0200,10.8,91.5,15
20230512 0300,10.5,93.7,15
20230512 0400,10.4,94.8,15
20230512 0500,10.1,95.2,15
20230512 0600,11.1,95.7,15
20230512 0700,14.3,95.3,1.1
20230512 0800,17.7,79.2,0.7
20230512 0900,20.5,56.7,0.6
20230512 1000,23.1,42.3,0
20230512 1100,25.3,40.8,0
20230512 1200,25.7,41,0
20230512 1300,26.5,35.4,0
20230512 1400,28.7,35.7,0
20230512 1500,28.1,33.8,0
20230512 1600,26.2,36.5,0
20230512 1700,22.9,54.3,0
20230512 1800,22.4,43.8,0
20230512 1900,19.1,56.7,0
20230512 2000,17.3,59.3,0
20230512 2100,16.1,67.4,0.6
20230512 2200,15.1,75,0.6
